sample_index,split,reference,sampling_rate,audio_num_samples,audio_duration_sec,whisper_tiny_output,whisper_tiny_latency_sec,whisper_tiny_wer,whisper_base_output,whisper_base_latency_sec,whisper_base_wer,whisper_small_output,whisper_small_latency_sec,whisper_small_wer,whisper_medium_output,whisper_medium_latency_sec,whisper_medium_wer,whisper_large_v3_output,whisper_large_v3_latency_sec,whisper_large_v3_wer,whisper_large_v3t_output,whisper_large_v3t_latency_sec,whisper_large_v3t_wer,gemma3n_e2b_output,gemma3n_e2b_latency_sec,gemma3n_e2b_wer,gemma3n_e4b_output,gemma3n_e4b_latency_sec,gemma3n_e4b_wer,vosk_small_en_us_output,vosk_small_en_us_latency_sec,vosk_small_en_us_wer,vosk_model_en_us_output,vosk_model_en_us_latency_sec,vosk_model_en_us_wer
11,test.clean,THIS OUTWARD MUTABILITY INDICATED AND DID NOT MORE THAN FAIRLY EXPRESS THE VARIOUS PROPERTIES OF HER INNER LIFE,16000,119040,7.44,This outward mutability indicated and did not more than fairly express the various properties of her inner life.,0.14604938868433237,0.0,This outward mutability indicated and did not more than fairly express the various properties of her inner life.,0.19450852274894714,0.0,This outward mutability indicated and did not more than fairly express the various properties of her inner life.,0.2907838048413396,0.0,"This outward mutability indicated, and did not more than fairly express, the various properties of her inner life.",0.7440268862992525,0.0,"This outward mutability indicated, and did not more than fairly express, the various properties of her inner life.",0.5406761905178428,0.0,this outward mutability indicated and did not more than fairly express the various properties of her inner life,0.22045196779072285,0.0,This outward mutability indicated and did not more than fairly express the various properties of her inner life.,3.600027857348323,0.0,This outward mutability indicated and did not more than fairly express the various properties of her inner life.,4.054502986371517,0.0,this outward mutability indicated and did not more than fairly express the various properties of her in her life,2.019763813354075,0.1111111111111111,this outward mutability indicated and did not more than fairly express the various properties of her in her life,2.4110509883612394,0.1111111111111111
12,test.clean,THEIR EYES DANCED BIG THORLEIF STOOD UP AND STRETCHED HIMSELF,16000,60320,3.77,"their eyes dance, big tour leave stood up and stretched himself.",0.1428631627932191,0.3,"Their eyes danced, big tourleaf stood up and stretched himself.",0.1576293520629406,0.1,Their eyes danced. Big tourleaf stood up and stretched himself.,0.2355230487883091,0.1,"Their eyes danced, Big Torleaf stood up and stretched himself.",0.36259724851697683,0.1,their eyes danced big torleif stood up and stretched himself you,0.7431357456371188,0.2,their eyes danced big toreleaf stood up and stretched himself,0.20393620803952217,0.1,There eyes danced. Big Torleef stood up and stretched himself.,2.6023557214066386,0.2,Their eyes danced. Big Thorleaf stood up and stretched himself.,2.7084313621744514,0.1,their eyes danced big tour leave stood up and stretched himself,1.434603071771562,0.2,their eyes danced big tour leaves stood up and stretched himself,1.8977792505174875,0.2
13,test.clean,MISS MILNER'S HEALTH IS NOT GOOD,16000,43360,2.71,Miss Milner's health is not good.,0.12543981429189444,0.0,Miss Milner's health is not good.,0.14030519407242537,0.0,Miss Milner's health is not good.,0.16752522345632315,0.0,Ms. Milner's health is not good.,0.28693755622953176,0.16666666666666666,Miss Milner's health is not good.,0.34122052416205406,0.0,Ms. Milner's health is not good.,0.18542807549238205,0.16666666666666666,Miss Milner's health is not good.,1.8027057787403464,0.0,Miss Milner's health is not good.,1.9888554811477661,0.0,miss milner health is not good,1.123692781664431,0.16666666666666666,miss milner's health is not good,0.9019534541293979,0.0
14,test.clean,WHEN I WAS A YOUNG MAN I THOUGHT PAUL WAS MAKING TOO MUCH OF HIS CALL,16000,58640,3.665,"When I was a young man, I thought Paul was making too much of his call.",0.14133218489587307,0.0,"When I was a young man, I thought Paul was making too much of his call.",0.1739643309265375,0.0,When I was a young man I thought Paul was making too much of his call.,0.21940895821899176,0.0,"When I was a young man, I thought Paul was making too much of his call.",0.34453014470636845,0.0,"When I was a young man, I thought Paul was making too much of his call.",0.447271129116416,0.0,"When I was a young man, I thought Paul was making too much of his call.",0.2183677675202489,0.0,"When I was a young man, I thought Paul was making too much of his call.",3.27886572945863,0.0,"When I was a young man, I thought Paul was making too much of his call.",3.642747651785612,0.0,when i was a young man i thought paul was making too much of his call,1.5236389031633735,0.0,when i was a young man i thought paul was making too much of his call,1.5140813812613487,0.0
15,test.clean,BUT THEY DRAGGED HIM OUT OF THE ROOM AND UP THE STAIRS INTO THE LOFT AND HERE IN A DARK CORNER WHERE NO DAYLIGHT COULD ENTER THEY LEFT HIM,16000,244960,15.31,"But they dragged him out of the room, and up the stairs into the loft, and here in a dark corner where no daylight could enter, they left him.",0.1898683849722147,0.0,"But, they dragged him out of the room and up the stairs into the loft, and here, in a dark corner where no daylight could enter, they left him.",0.2274990100413561,0.0,"But they dragged him out of the room and up the stairs into the loft, and here, in a dark corner where no daylight could enter, they left him.",0.33945304341614246,0.0,"But they dragged him out of the room and up the stairs into the loft, and here, in a dark corner, where no daylight could enter, they left him.",0.8032546080648899,0.0,but they dragged him out of the room and up the stairs into the loft and here in a dark corner where no daylight could enter they left him,0.6705938139930367,0.0,but they dragged him out of the room and up the stairs into the loft and here in a dark corner where no daylight could enter they left him,0.26461183931678534,0.0,But they dragged him out of the room and up the stairs into the loft and here in a dark corner where no daylight could enter they left him.,5.214303907938302,0.0,"But they dragged him out of the room and up the stairs into the loft. And here, in a dark corner where no daylight could enter, they left him.",6.457116468809545,0.0,but they dragged him out of the room and up the stairs into the loft and here it a dark corner where no daylight could enter they left him,2.496019911020994,0.034482758620689655,but they dragged him out of the room and up the stairs into the loft and here it a dark corner where no daylight could enter they left him,4.408431090414524,0.034482758620689655
16,test.clean,THEIR WALK CONTINUED SILENT FOR THE GREATER PART NEITHER WAS QUITE SATISFIED WITH THE OTHER BUT RACHEL AT LAST SAID,16000,117920,7.37,"They're well-continued silent for the greater part. Neither was quite satisfied with the other, but Rachel at last said.",0.2074645757675171,0.1,"Their walk continued silent for the greater part. Neither was quite satisfied with the other, but Rachel at last said,",0.19936446473002434,0.0,Their walk continued silent for the greater part. Neither was quite satisfied with the other. But Rachel at last said...,0.36005697399377823,0.0,"Their walk continued silent for the greater part. Neither was quite satisfied with the other, but Rachel at last said,",0.47681970335543156,0.0,their walk continued silent for the greater part neither was quite satisfied with the other but rachel at last said,0.5903834458440542,0.0,"Their walk continued silent for the greater part. Neither was quite satisfied with the other. But Rachel at last said,",0.24175286944955587,0.0,"They walked in continued silent for the greater part. Neither was quite satisfied with the other, but Rachel at last said, ""Dr.",4.7507753232494,0.2,"There walk continued silent for the greater part. Neither was quite satisfied with the other, but Rachel at last said, """,4.80695332121104,0.05,they're walk continued silent for the greater part neither was quite satisfied with the other but rachel at last said,2.0621071672067046,0.05,their walk continued silent for the greater part neither was quite satisfied with the other but rachel at last said,3.0549935093149543,0.0
17,test.clean,BY THE HAMMER OF THOR SHOUTED GRIM HERE IS NO STINGY COWARD,16000,63360,3.96,"By the hammer of Thor shot at Grim, there is no stingy coward.",0.13833537697792053,0.25,"By the hammer-a-thorch-outed grim, there is no stingy coward.",0.16916930489242077,0.3333333333333333,"By the hammer of Thor, shouted Grimm, there is no stingy coward.",0.2140466058626771,0.16666666666666666,"By the hammer of Thor, shouted Grimm, There is no stingy coward.",0.38808212149888277,0.16666666666666666,by the hammer of thor shouted grim there is no stingy coward,0.38447515293955803,0.08333333333333333,by the hammer o thor shouted grim there is no stingy coward,0.1935572773218155,0.16666666666666666,"By the hammer of Thor, shouted Grim, there is no stingy coward.",3.120616198517382,0.08333333333333333,"By the hammer of Thor, shouted Grim, there is no stingy cowar",3.2982997884973884,0.16666666666666666,by the hammer of thor shouted groom there is no stingy cower,1.5754666086286306,0.25,by the hammer of thor shouted grimm there is no stingy coward,1.6166095873340964,0.16666666666666666
18,test.clean,A BROKEN TIP OF LEAD WAS LYING THERE ALSO,16000,45200,2.825,A broken tip of lead was lying there also.,0.08455463033169508,0.0,A broken tip of lead was lying there also.,0.10330438520759344,0.0,A broken tip of lead was lying there also.,0.14835927821695805,0.0,A broken tip of lead was lying there also.,0.26096352376043797,0.0,A broken tip of lead was lying there also.,0.35118973907083273,0.0,A broken tip of lead was lying there also.,0.193799021653831,0.0,A broken tip of lead was lying there also.,1.9669310301542282,0.0,Dr.,0.6821784004569054,1.0,a broken tip of lead was lying there also,1.2517976639792323,0.0,a broken tip of lead was lying there also,1.0834113070741296,0.0
19,test.clean,I SHALL CALL YOU ESPRIT,16000,45760,2.86,I shall call you a spree.,0.07544456701725721,0.4,I shall call you a spree.,0.08614507131278515,0.4,I shall call you as Spree.,0.13590804394334555,0.4,I shall call you a spree.,0.22307767160236835,0.4,I shall call you a spree.,0.31240845564752817,0.4,I shall call you a spree.,0.17427270393818617,0.4,I shall call you a spree.,1.4469283688813448,0.4,I shall call you Espee.,1.6167301395907998,0.2,i shall call us spree,1.099695274606347,0.4,i shall call you a spree,0.8839014610275626,0.4
20,test.clean,WHO TOUCHES ME AM I IN BED,16000,35440,2.215,Who touches me am I in bed?,0.07921404018998146,0.0,Who touches me? Am I in bed?,0.11466216016560793,0.0,Who touches me? Am I in bed?,0.15389174968004227,0.0,Who touches me? Am I in bed?,0.23087319638580084,0.0,Who touches me? Am I in bed?,0.3389684744179249,0.0,Who touches me? Am I in bed?,0.17517506796866655,0.0,,0.27850789576768875,1.0,چرا چی هستی؟ آیا من به,1.9725730326026678,1.0,who touches me and my in bed,1.1699564578011632,0.2857142857142857,who touches me am i embed,0.9876474533230066,0.2857142857142857
21,test.clean,UP AND DOWN THE WATER WE WENT TO GET MUCH WEALTH AND MUCH FROLIC,16000,56080,3.505,Up and down the water we went to get much wealth and much frolic.,0.13805518951267004,0.0,Up and down the water we went to get much wealth and much frolic.,0.15183025877922773,0.0,Up and down the water we went to get much wealth and much frolic.,0.2396838804706931,0.0,Up and down the water we went to get much wealth and much frolic.,0.33412541076540947,0.0,"Up and down the water we went, to get much wealth and much frolic.",0.4332762770354748,0.0,up and down the water we went to get much wealth and much frolic,0.1937754899263382,0.0,Up and down the water we went to get much wealth and much frolic.,2.9329587100073695,0.0,Up and down the water we went to get much wealth and much frolic.,3.30615165643394,0.0,up and down the water we went to get much wealth and much frolic,1.46618658490479,0.0,up and down the water we went to get much wealth and much frolic,1.4465674627572298,0.0
22,test.clean,FOR INSTANCE ONE DAY THE CHILDREN HAD BEEN PLAYING UPON THE PIAZZA WITH BLOCKS AND OTHER PLAYTHINGS AND FINALLY HAD GONE INTO THE HOUSE LEAVING ALL THE THINGS ON THE FLOOR OF THE PIAZZA INSTEAD OF PUTTING THEM AWAY IN THEIR PLACES AS THEY OUGHT TO HAVE DONE,16000,294640,18.415,"For instance, one day the children had been playing upon the Piazza with blocks and other playthings and finally had gone into the house, leaving all the things on the floor of the Piazza instead of putting them away in their places as they ought to have done.",0.2632963815703988,0.0,"For instance, one day, the children had been playing upon the piazza, with blocks and other playthings, and finally had gone into the house, leaving all the things on the floor of the piazza, instead of putting them away in their places, as they ought to have done.",0.3752509281039238,0.0,"For instance, one day, the children had been playing upon the piazza with blocks and other play things, and finally had gone into the house, leaving all the things on the floor of the piazza instead of putting them away in their places, as they ought to have done.",0.5188269065693021,0.041666666666666664,"For instance, one day the children had been playing upon the piazza with blocks and other playthings, and finally had gone into the house, leaving all the things on the floor of the piazza instead of putting them away in their places, as they ought to have done.",1.237479455769062,0.0,for instance one day the children had been playing upon the piazza with blocks and other playthings and finally had gone into the house leaving all the things on the floor of the piazza instead of putting them away in their places as they ought to have done,0.9441816350445151,0.0,for instance one day the children had been playing upon the piazza with blocks and other playthings and finally had gone into the house leaving all the things on the floor of the piazza instead of putting them away in their places as they ought to have done,0.360033480450511,0.0,"For instance, one day, the children had been playing upon the piazza with blocks and other playthings, and finally had gone into the house, leaving all the things on the floor of the piazza, instead of putting them away in their places. As they ought to have done.",9.524465224705637,0.0,"For instance, one day, the children had been playing upon the piazza with blocks and other playthings, and finally had gone into the house, leaving all the things on the floor of the piazza, instead of putting them away in their places, as they ought to have done.",10.72413169592619,0.0,for instance one day the children had been playing upon the piazza with blocks and other playthings and finally had gone into the house leaving all the things on the floor of the piazza instead of putting them away in their places as they ought to have done,3.160301852039993,0.0,for instance one day the children had been playing upon the piazza with blocks and other playthings and finally had gone into the house leaving all the things on the floor of the piazza instead of putting them away in their places as they ought to have done,5.247723374515772,0.0
23,test.clean,IT WAS SO DARK THAT I COULD SEE NOTHING BUT A FEW SPARKS ON THE HEARTH,16000,55680,3.48,It was so dark that I could see nothing but a few sparks on the heart.,0.14215204305946827,0.0625,It was so dark that I could see nothing but a few sparks on the heart.,0.1582338036969304,0.0625,It was so dark that I could see nothing but a few sparks on the hearth.,0.21498556528240442,0.0,It was so dark that I could see nothing but a few sparks on the hearth.,0.3410206036642194,0.0,it was so dark that i could see nothing but a few sparks on the hearth,0.43905225954949856,0.0,it was so dark that i could see nothing but a few sparks on the hearth,0.21383682917803526,0.0,It was so dark that I could see nothing but a few sparks on the hearth.,3.0976381339132786,0.0,It was so dark that I could see nothing but a few sparks on the hearth.,3.4437974421307445,0.0,he was so dark that i could see nothing but a few sparks on the heart,1.4627388743683696,0.125,he was so dark that i could see nothing but a few sparks on the hearth,1.5276516322046518,0.0625
24,test.clean,LISTEN THEN SOCRATES TO A TALE OF SOLON'S WHO BEING THE FRIEND OF DROPIDAS MY GREAT GRANDFATHER TOLD IT TO MY GRANDFATHER CRITIAS AND HE TOLD ME,16000,183680,11.48,"Listen then, Socrates, to a tale of solence, who, being the friend of Jobidus, my great grandfather, told it to my grandfather, cradius, and he told me.",0.2430560253560543,0.1111111111111111,"Listen then, Socrates, to a tale of solace, who, being the friend of Drobidus, my great-grandfather told it to my grandfather, Cridius, and he told me.",0.4720114441588521,0.1111111111111111,"Listen then, Socrates, to a tale of solace, who, being the friend of Tropides, my great-grandfather, told it to my grandfather, Cridius, and he told me.",0.4052731581032276,0.1111111111111111,"Listen, then, Socrates, to a tale of Solace, who, being the friend of Tropidus, my great-grandfather, wrote it to my grandfather, Critias, and he told me.",0.919459218159318,0.1111111111111111,listen then socrates to a tale of solans who being the friend of tropidas my great-grandfather told it to my grandfather critias and he told me,0.6618564687669277,0.07407407407407407,listen then socrates to a tale of solens who being the friend of tropidas my great-grandfather told it to my grandfather critias and he told me,0.255750416778028,0.07407407407407407,"Listen then, Socrates, to a tale of Solon. Who, being the friend of Croesus, my great grandfather, told it to my grandfather Cleisthenes, and he told me.",6.730402604676783,0.1111111111111111,"Listen then, Socrates, to a tale of Solon, who, being the friend of Dropeus, my great grandfather, told it to my grandfather Critias, and he told me.",7.579453038051724,0.07407407407407407,listen then socrates too a tale of salience who being the friend of drop it is my great grandfather told it to my grandfather greediest and he told me,2.3564998200163245,0.2222222222222222,listen then socrates to a tale of silence who being the friend of dramatis my great grandfather told it to my grandfather critique us and he told me,5.3342694798484445,0.14814814814814814
